494,493000,-197246,-1043
495,494000,-295527,-1528
496,495000,-352302,-1798
497,496000,-359597,-1815
498,497000,-316387,-1578
499,498000,-228742,-1118
500,499000,-108971,-502
501,500000,26104,184
502,501000,32241,1149
503,502000,36580,2412
504,503000,50311,3797
505,504000,57650,5104
506,505000,58526,6133
507,506000,43407,6736
508,507000,26130,6799
509,508000,14182,6330
510,509000,-8308,5376
511,510000,-24814,4051
512,511000,-35225,2545
513,512000,-40253,1056
514,513000,-40129,-206
515,514000,-36185,-1091
516,515000,-18950,-1472
517,516000,-2261,-1292
518,517000,13885,-604
519,518000,31602,496
520,519000,44624,1847
521,520000,54612,3258
522,521000,53288,4516
523,522000,47727,5430
524,523000,38179,5884
525,524000,20519,5797
526,525000,2306,5172
527,526000,-16421,4094
528,527000,-29759,2710
529,528000,-40127,1212
530,529000,-46244,-208
531,530000,-40967,-1347
532,531000,-31342,-2047
533,532000,-17227,-2224
534,533000,-322,-1855
535,534000,18411,-998
536,535000,36089,228
537,536000,45626,1639
538,537000,51816,3030
539,538000,51998,4210
540,539000,43725,5003
541,540000,29931,5293
542,541000,12336,5033
543,542000,-4505,4261
544,543000,-22564,3081
545,544000,-37285,1646
546,545000,-44165,161
547,546000,-45639,-1167
548,547000,-40387,-2161
549,548000,-29620,-2684
550,549000,-12943,-2667
551,550000,5910,-2109
552,551000,22445,-1100
553,552000,37803,215
554,553000,48198,1655
555,554000,51844,3011
556,555000,48077,4088
557,556000,38017,4730
558,557000,24254,4849
559,558000,5849,4424
560,559000,-12980,3508
561,560000,-28854,2230
562,561000,-40617,767
563,562000,-46578,-677
564,563000,-46389,-1907
565,564000,-38153,-2749
566,565000,-24556,-3085
567,566000,-8232,-2875
568,567000,10267,-2149
569,568000,27683,-1011
570,569000,41477,377
571,570000,48939,1819
572,571000,50161,3106
573,572000,45317,4060
574,573000,33311,4544
575,574000,16964,4485
576,575000,-1199,3891
577,576000,-18851,2845
578,577000,-34021,1491
579,578000,-44586,16
580,579000,-47794,-1373
581,580000,-44436,-2483
582,581000,-35095,-3160
583,582000,-20341,-3312
584,583000,-2382,-2917
585,584000,16127,-2033
586,585000,31938,-786
587,586000,43829,646
588,587000,50061,2064
589,588000,48895,3265
590,589000,41047,4078
591,590000,27719,4388
592,591000,10896,4151
593,592000,-7675,3400
594,593000,-25209,2235
595,594000,-38524,822
596,595000,-46500,-642
597,596000,-48021,-1955
598,597000,-42631,-2932
599,598000,-30893,-3438
600,599000,-14685,-3401
601,600000,3274,-2830
602,601000,21191,-1805
603,602000,36409,-471
604,603000,46382,983
605,604000,49880,2352
606,605000,46578,3443
607,606000,37067,4102
608,607000,22143,4234
609,608000,4144,3821
610,609000,-14034,2919
611,610000,-30240,1655
612,611000,-42232,204
613,612000,-48239,-1229
614,613000,-47155,-2446
615,614000,-39398,-3275
616,615000,-26283,-3602
617,616000,-9203,-3381
618,617000,9335,-2643
619,618000,26543,-1494
620,619000,39996,-95
621,620000,47997,1355
622,621000,49489,2654
623,622000,43887,3618
624,623000,32174,4109
625,624000,16168,4060
626,625000,-2053,3476
627,626000,-20015,2439
628,627000,-35149,1092
629,628000,-45103,-373
630,629000,-48703,-1754
631,630000,-45549,-2857
632,631000,-35840,-3527
633,632000,-20976,-3670
634,633000,-3145,-3267
635,634000,15076,-2376
636,635000,31315,-1122
637,636000,43308,317
638,637000,49136,1742
639,638000,48103,2948
640,639000,40446,3768
641,640000,27182,4086
642,641000,10068,3855
643,642000,-8445,3109
644,643000,-25600,1950
645,644000,-39149,543
646,645000,-47238,-915
647,646000,-48605,-2222
648,647000,-43049,-3194
649,648000,-31423,-3694
650,649000,-15426,-3653
651,650000,2839,-3076
652,651000,20802,-2046
653,652000,35806,-707
654,653000,45803,751
655,654000,49451,2125
656,655000,46222,3221
657,656000,36474,3884
658,657000,21618,4020
659,658000,3841,3611
660,659000,-14461,2714
661,660000,-30748,1454
662,661000,-42671,7
663,662000,-48523,-1422
664,663000,-47540,-2635
665,664000,-39909,-3461
666,665000,-26600,-3784
667,666000,-9493,-3559
668,667000,8935,-2818
669,668000,26118,-1665
670,669000,39690,-263
671,670000,47744,1190
672,671000,49071,2492
673,672000,43523,3459
674,673000,31935,3954
675,674000,15879,3908
676,675000,-2412,3327
677,676000,-20340,2292
678,677000,-35350,949
679,678000,-45382,-514
680,679000,-49055,-1892
681,680000,-45791,-2992
682,681000,-36052,-3659
683,682000,-21248,-3800
684,683000,-3458,-3395
685,684000,14858,-2502
686,685000,31130,-1245
687,686000,43017,197
688,687000,48876,1623
689,688000,47917,2832
690,689000,40248,3655
691,690000,26923,3974
692,691000,9831,3746
693,692000,-8594,3001
694,693000,-25803,1845
695,694000,-39395,440
696,695000,-47423,-1017
697,696000,-48759,-2322
698,697000,-43241,-3292
699,698000,-31651,-3790
700,699000,-15585,-3747
701,700000,2699,-3168
702,701000,20599,-2136
703,702000,35616,-796
704,703000,45661,664
705,704000,49311,2040
706,705000,46034,3137
707,706000,36302,3801
708,707000,21504,3940
709,708000,3695,3532
710,709000,-14635,2636
711,710000,-30890,1377
712,711000,-42783,-67
713,712000,-48661,-1496
714,713000,-47705,-2707
715,714000,-40027,-3532
716,715000,-26707,-3853
717,716000,-9636,-3627
718,717000,8794,-2885
719,718000,26010,-1731
720,719000,39589,-328
721,720000,47607,1127
722,721000,48946,2430
723,722000,43434,3398
724,723000,31829,3894
725,724000,15754,3849
726,725000,-2520,3269
727,726000,-20423,2236
728,727000,-35452,893
729,728000,-45502,-568
730,729000,-49145,-1946
731,730000,-45871,-3045
732,731000,-36153,-3711
733,732000,-21353,-3851
734,733000,-3539,-3445
735,734000,14783,-2550
736,735000,31029,-1293
737,736000,42924,150
738,737000,48806,1577
739,738000,47840,2787
740,739000,40156,3610
741,740000,26841,3930
742,741000,9769,3703
743,742000,-8669,2959
744,743000,-25890,1804
745,744000,-39464,399
746,745000,-47484,-1056
747,746000,-48832,-2361
748,747000,-43319,-3330
749,748000,-31712,-3827
750,749000,-15641,-3784
751,750000,2626,-3205
752,751000,20530,-2172
753,752000,35561,-831
754,753000,45604,629
755,754000,49243,2006
756,755000,45972,3104
757,756000,36254,3769
758,757000,21448,3908
759,758000,3631,3501
760,759000,-14688,2605
761,760000,-30936,1347
762,761000,-42837,-97
763,762000,-48720,-1525
764,763000,-47752,-2736
765,764000,-40071,-3560
766,765000,-26760,-3881
767,766000,-9688,-3654
768,767000,8752,-2911
769,768000,25968,-1757
770,769000,39539,-353
771,770000,47560,1102
772,771000,48909,2405
