sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V
173,86000,500,2933,2146,2774,1994,2.374000,1.749000
174,86500,500,3159,2295,3009,2145,2.551000,1.872000
175,87000,500,3264,2679,3130,2527,2.630000,2.177000
176,87500,500,3354,2963,3234,2815,2.698000,2.410000
177,88000,500,3415,3208,3303,3071,2.745000,2.598000
178,88500,500,3434,3479,3327,3391,2.759000,2.798000
179,89000,500,3426,3631,3318,3618,2.750000,2.916000
180,89500,500,3397,3736,3280,3781,2.729000,2.994000
181,90000,500,3328,3805,3201,3897,2.678000,3.052000
182,90500,500,3219,3859,3081,3999,2.592000,3.094000
183,91000,500,3059,3890,2907,4051,2.478000,3.117000
184,91500,500,2852,3909,2690,4094,2.313000,3.132000
185,92000,500,2605,3915,2442,4095,2.109000,3.134000
186,92500,500,2315,3920,2155,4095,1.879000,3.134000
187,93000,500,1996,3915,1839,4095,1.624000,3.134000
188,93500,500,1672,3908,1514,4093,1.362000,3.134000
189,94000,500,1375,3887,1217,4050,1.121000,3.118000
190,94500,500,1141,3861,977,4000,0.928000,3.093000
191,95000,500,959,3802,795,3889,0.782000,3.046000
192,95500,500,829,3714,668,3749,0.679000,2.979000
193,96000,500,740,3544,579,3485,0.607000,2.848000
194,96500,500,681,3297,523,3179,0.563000,2.664000
195,97000,500,660,2882,496,2733,0.542000,2.345000
196,97500,500,670,2392,501,2240,0.550000,1.947000
197,98000,500,704,2008,547,1856,0.581000,1.637000
198,98500,500,780,1669,619,1519,0.641000,1.365000
199,99000,500,914,1292,753,1136,0.748000,1.058000
200,99500,500,1097,1000,931,839,0.897000,0.820000
201,100000,500,1324,835,1168,673,1.081000,0.684000
202,100500,500,1589,782,1433,624,1.295000,0.645000
203,101000,500,1887,743,1728,586,1.534000,0.613000
204,101500,500,2224,738,2066,579,1.806000,0.608000
205,102000,500,2554,805,2390,647,2.068000,0.662000
206,102500,500,2834,973,2674,813,2.295000,0.799000
207,103000,500,3044,1207,2891,1053,2.468000,0.991000
208,103500,500,3200,1469,3056,1315,2.582000,1.201000
209,104000,500,3324,1692,3197,1535,2.679000,1.379000
210,104500,500,3400,2083,3281,1933,2.730000,1.691000
211,105000,500,3440,2601,3333,2448,2.761000,2.114000
212,105500,500,3445,3017,3345,2870,2.768000,2.455000
213,106000,500,3424,3293,3314,3173,2.750000,2.661000
214,106500,500,3373,3491,3255,3410,2.710000,2.806000
215,107000,500,3283,3657,3151,3660,2.645000,2.937000
216,107500,500,3142,3751,2992,3808,2.537000,3.010000
217,108000,500,2947,3804,2788,3905,2.386000,3.050000
218,108500,500,2707,3830,2544,3942,2.191000,3.072000
219,109000,500,2437,3846,2278,3977,1.975000,3.082000
220,109500,500,2129,3849,1968,3979,1.727000,3.085000
221,110000,500,1790,3838,1633,3960,1.456000,3.076000
222,110500,500,1462,3811,1302,3917,1.190000,3.055000
223,111000,500,1200,3762,1040,3823,0.980000,3.016000
224,111500,500,1007,3673,847,3682,0.825000,2.949000
225,112000,500,870,3528,706,3462,0.711000,2.836000
226,112500,500,765,3286,602,3166,0.628000,2.655000
227,113000,500,694,2945,535,2799,0.571000,2.398000
228,113500,500,657,2483,493,2330,0.541000,2.019000
229,114000,500,654,2044,491,1893,0.538000,1.666000
230,114500,500,682,1612,524,1458,0.564000,1.316000
231,115000,500,751,1216,587,1061,0.619000,0.997000
232,115500,500,858,902,697,742,0.702000,0.742000
233,116000,500,1016,701,851,544,0.828000,0.583000
234,116500,500,1222,579,1065,419,0.998000,0.480000
235,117000,500,1476,504,1323,347,1.203000,0.419000
236,117500,500,1767,460,1613,304,1.442000,0.387000
237,118000,500,2098,460,1943,304,1.703000,0.388000
238,118500,500,2431,493,2271,336,1.972000,0.413000
239,119000,500,2734,570,2559,411,2.204000,0.475000
240,119500,500,2968,699,2809,543,2.406000,0.579000
241,120000,500,3147,907,3001,746,2.543000,0.745000
242,120500,500,3274,1210,3145,1056,2.639000,0.993000
243,121000,500,3372,1564,3250,1409,2.711000,1.280000
244,121500,500,3432,1953,3327,1805,2.758000,1.591000
245,122000,500,3452,2418,3350,2266,2.771000,1.967000
246,122500,500,3438,2882,3333,2735,2.761000,2.345000
247,123000,500,3395,3236,3280,3113,2.728000,2.616000
248,123500,500,3318,3444,3187,3354,2.671000,2.772000
249,124000,500,3201,3591,3056,3552,2.582000,2.884000
250,124500,500,3028,3701,2869,3719,2.453000,2.971000
251,125000,500,2805,3768,2644,3835,2.275000,3.023000
