158,158531,-132852513,1508704083,-440297015,1684609633,1241186400,1242339638,-2116162655,-1743822790,
159,159531,-725275372,1673276348,-740016928,1794158512,1232189005,1253607612,-2120095845,-1736645654,
160,160531,-1217382501,1599112731,-985986832,1727913812,1229928775,1265411147,-2120874619,-1729421206,
161,161531,-1540058939,1296629245,-1143661084,1495179501,1235637765,1271363353,-2118074340,-1726057795,
162,162531,-1647985635,808308658,-1190894677,1128642381,1246206631,1268253035,-2113220016,-1728370193,
163,163531,-1526004660,202734321,-1121053886,679781476,1255898512,1257757012,-2108945976,-1735110955,
164,164531,-1191247832,-435042771,-943947591,211637999,1259472883,1245548668,-2107562513,-1742636176,
165,165531,-690730873,-1015448659,-684449885,-210038710,1255002056,1238252150,-2109815860,-1746861350,
166,166531,-94749793,-1456967101,-379006419,-526025354,1244897835,1239840214,-2114490134,-1745485908,
167,167531,512991587,-1697588077,-70515826,-691942620,1234625625,1249447389,-2119056485,-1739259247,
168,168531,1047137789,-1703517186,197695302,-684487908,1229764221,1261847963,-2121034333,-1731567588,
169,169531,1432669681,-1473921544,387957518,-504708262,1232961378,1270322539,-2119346085,-1726577810,
170,170531,1615440289,-1041047413,473549055,-177853014,1242475342,1270295263,-2114911789,-1726983346,
171,171531,1569780095,-465690480,442448782,250171815,1253135076,1261781288,-2110140711,-1732565375,
172,172531,1302101883,171342021,299024763,719251473,1259169355,1249377251,-2107615389,-1740309838,
173,173531,850000461,780580791,63420356,1163505109,1257321846,1239804712,-2108698406,-1746018596,
174,174531,276971890,1276460017,-231274445,1520538593,1248589035,1238270767,-2112805410,-1746585924,
175,175531,-336503542,1589334969,-543670632,1740207603,1237689153,1245611013,-2117717492,-1741702599,
176,176531,-904265023,1675263141,-829893103,1791660459,1230533921,1257829314,-2120769138,-1734026993,
177,177531,-1346572242,1522176488,-1049742760,1667670546,1231017656,1268296330,-2120299758,-1727722603,
178,178531,-1601304321,1151575317,-1172342338,1385651986,1238876919,1271354261,-2116564515,-1726195931,
179,179531,-1632685098,615509526,-1180473162,985213436,1249835598,1265354430,-2111595761,-1730270719,
180,180531,-1436306979,-10732018,-1072993219,522595284,1257952573,1253534011,-2108086396,-1737747782,
181,181531,-1039750907,-639195569,-864997787,62770883,1258843684,1242289416,-2107931292,-1744579790,
182,182531,-498711925,-1181615240,-585699165,-329678793,1252029014,1237730012,-2111213967,-1747054402,
183,183531,110822681,-1561809916,-274324055,-599635361,1241186400,1242339638,-2116162655,-1743822790,
184,184531,703245539,-1726382181,25395857,-709184239,1232189005,1253607612,-2120095845,-1736645654,
185,185531,1195352669,-1652218564,271365762,-642939540,1229928775,1265411147,-2120874619,-1729421206,
186,186531,1518029106,-1349735079,429040014,-410205229,1235637765,1271363353,-2118074340,-1726057795,
187,187531,1625955803,-861414491,476273607,-43668109,1246206631,1268253035,-2113220016,-1728370193,
188,188531,1503974828,-255840154,406432816,405192796,1255898512,1257757012,-2108945976,-1735110955,
189,189531,1169217999,381936937,229326521,873336274,1259472883,1245548668,-2107562513,-1742636176,
190,190531,668701041,962342826,-30171186,1295012982,1255002056,1238252150,-2109815860,-1746861350,
191,191531,72719961,1403861267,-335614651,1610999627,1244897835,1239840214,-2114490134,-1745485908,
192,192531,-535021419,1644482244,-644105244,1776916893,1234625625,1249447389,-2119056485,-1739259247,
193,193531,-1069167622,1650411353,-912316372,1769462180,1229764221,1261847963,-2121034333,-1731567588,
194,194531,-1454699514,1420815711,-1102578588,1589682534,1232961378,1270322539,-2119346085,-1726577810,
195,195531,-1637470121,987941580,-1188170125,1262827287,1242475342,1270295263,-2114911789,-1726983346,
196,196531,-1591809928,412584646,-1157069853,834802458,1253135076,1261781288,-2110140711,-1732565375,
197,197531,-1324131716,-224447854,-1013645833,365722799,1259169355,1249377251,-2107615389,-1740309838,
198,198531,-872030294,-833686624,-778041427,-78530836,1257321846,1239804712,-2108698406,-1746018596,
199,199531,-299001722,-1329565850,-483346625,-435564321,1248589035,1238270767,-2112805410,-1746585924,
200,200531,314473710,-1642440802,-170950438,-655233331,1237689153,1245611013,-2117717492,-1741702599,
201,201531,-297509078,-500101252,319377439,-1013327653,1179754724,1058038595,-2091958011,-1661523561,
202,202531,-44827425,-149682077,977962500,-1548447884,999686935,674795415,-1909320504,-1335424346,
203,203531,314446620,111801485,1549115319,-1940169911,691535883,369813699,-1449278247,-707146182,
204,204531,465918737,522883726,1961916024,-2147483648,318521957,237003480,-748541288,93694991,
205,205531,768387815,629977154,2147483647,-2125020433,2518133,250756159,50141193,890669635,
206,206531,695262196,921850651,2086991897,-1886789246,-173612962,319259347,798752169,1540201668,
207,207531,829260821,761559115,1780806269,-1453982110,-190756730,297952545,1390939044,1962885526,
208,208531,508919839,840596052,1276020159,-893508254,-139002426,102747206,1774263075,2147483647,
209,209531,471619366,427231052,638972956,-277237263,-152501955,-272769969,1953155035,2145088453,
210,210531,2713987,329047179,-40603143,307847598,-315033872,-767439067,1980786883,2046411500,
211,211531,-107406021,-194610180,-667815291,780368314,-675732981,-1214839044,1940476089,1946458799,
212,212531,-549548431,-335034224,-1158282357,1079554227,-1166597665,-1489770952,1913143603,1902915257,
213,213531,-596262134,-765108661,-1439706711,1158294615,-1680941634,-1519993074,1942199588,1913473545,
214,214531,-844212353,-796412960,-1479933018,1016626317,-2042732487,-1430052332,2018912119,1931543537,
215,215531,-736528409,-967817356,-1266551638,664263897,-2147483648,-1402346087,2099860727,1908872406,
216,216531,-712436614,-813844558,-839798228,166048388,-2086115158,-1581745695,2145196676,1836789295,
217,217531,-462782035,-681738538,-250464174,-421779234,-2011124202,-1935011370,2147483647,1751084412,
218,218531,-213947213,-390863624,406760410,-998661128,-1997699696,-2127383480,2123711506,1677844680,
219,219531,63157905,-48473584,1049809220,-1498921828,-2004170749,-2132689290,2087121583,1605448969,
