sample,ts_comtrade,dt_us,t_us,adcA_raw,adcB_raw,adcA_V,adcB_V,dacA_code,dacB_code
873,435999,500,435999,1358,1887,1.094359,1.520659,1520,2042
874,436499,500,436499,1296,1883,1.044396,1.517436,1459,2036
875,436999,500,436999,1273,1887,1.025861,1.520659,1431,2042
876,437499,500,437499,1258,1888,1.013773,1.521465,1420,2042
877,437999,500,437999,1265,1888,1.019414,1.521465,1427,2040
878,438499,500,438499,1281,1888,1.032308,1.521465,1443,2042
879,438999,500,438999,1325,1883,1.067766,1.517436,1484,2038
880,439499,500,439499,1389,1885,1.119341,1.519048,1548,2040
881,439999,500,439999,1479,1887,1.191868,1.520659,1637,2040
882,440499,500,440499,1575,1886,1.269231,1.519853,1733,2040
883,440999,500,440999,1683,1885,1.356264,1.519048,1843,2040
884,441499,500,441499,1798,1887,1.448938,1.520659,1958,2040
885,441999,500,441999,1919,1889,1.546447,1.522271,2080,2042
886,442499,500,442499,2032,1888,1.637509,1.521465,2199,2042
887,442999,500,442999,2154,1885,1.735824,1.519048,2315,2040
888,443499,500,443499,2263,1887,1.823663,1.520659,2426,2040
889,443999,500,443999,2368,1886,1.908278,1.519853,2534,2040
890,444499,500,444499,2462,1886,1.984029,1.519853,2629,2040
891,444999,500,444999,2533,1886,2.041245,1.519853,2701,2040
892,445499,500,445499,2559,1889,2.062198,1.522271,2740,2044
893,445999,500,445999,2603,1885,2.097656,1.519048,2765,2038
894,446499,500,446499,2608,1886,2.101685,1.519853,2773,2040
895,446999,500,446999,2603,1885,2.097656,1.519048,2764,2038
896,447499,500,447499,2559,1882,2.062198,1.516630,2727,2036
897,447999,500,447999,2494,1885,2.009817,1.519048,2661,2038
898,448499,500,448499,2407,1882,1.939707,1.516630,2572,2038
899,448999,500,448999,2310,1888,1.861539,1.521465,2476,2042
900,449499,500,449499,2197,1887,1.770476,1.520659,2365,2042
901,449999,500,449999,2081,1881,1.676996,1.515824,2242,2036
902,450499,500,450499,1949,1885,1.570623,1.519048,2110,2038
903,450999,500,450999,1822,1887,1.468278,1.520659,1982,2042
904,451499,500,451499,1699,1885,1.369158,1.519048,1858,2040
905,451999,500,451999,1579,1887,1.272454,1.520659,1733,2040
906,452499,500,452499,1452,1887,1.170110,1.520659,1612,2042
907,452999,500,452999,1343,1881,1.082271,1.515824,1502,2036
908,453499,500,453499,1258,1883,1.013773,1.517436,1418,2036
909,453999,500,453999,1205,1893,0.971062,1.525494,1366,2044
910,454499,500,454499,1168,1889,0.941245,1.522271,1329,2042
911,454999,500,454999,1142,1887,0.920293,1.520659,1304,2040
912,455499,500,455499,1137,1886,0.916264,1.519853,1299,2040
913,455999,500,455999,1162,1887,0.936410,1.520659,1324,2042
914,456499,500,456499,1220,1885,0.983150,1.519048,1382,2040
915,456999,500,456999,1300,1883,1.047619,1.517436,1458,2038
916,457499,500,457499,1392,1892,1.121758,1.524689,1549,2044
917,457999,500,457999,1488,1883,1.199121,1.517436,1650,2038
918,458499,500,458499,1610,1887,1.297436,1.520659,1766,2040
919,458999,500,458999,1733,1885,1.396557,1.519048,1891,2040
920,459499,500,459499,1859,1886,1.498095,1.519853,2016,2040
921,459999,500,459999,1979,1891,1.594799,1.523883,2138,2044
922,460499,500,460499,2102,1885,1.693920,1.519048,2265,2040
923,460999,500,460999,2224,1886,1.792235,1.519853,2386,2040
924,461499,500,461499,2331,1888,1.878462,1.521465,2497,2042
925,461999,500,461999,2416,1886,1.946960,1.519853,2579,2040
926,462499,500,462499,2473,1888,1.992894,1.521465,2640,2042
927,462999,500,462999,2514,1882,2.025934,1.516630,2686,2038
928,463499,500,463499,2551,1883,2.055751,1.517436,2720,2038
929,463999,500,463999,2559,1886,2.062198,1.519853,2730,2040
930,464499,500,464499,2543,1885,2.049304,1.519048,2711,2038
931,464999,500,464999,2496,1889,2.011429,1.522271,2663,2042
932,465499,500,465499,2436,1885,1.963077,1.519048,2604,2040
933,465999,500,465999,2361,1887,1.902637,1.520659,2526,2040
934,466499,500,466499,2274,1887,1.832528,1.520659,2437,2040
935,466999,500,466999,2170,1887,1.748718,1.520659,2333,2040
936,467499,500,467499,2060,1891,1.660073,1.523883,2220,2042
