sample_idx,applied_us,dt_us,flags,dac0,dac1,dac2,dac3,adc34,adc35
240,5035064,500,0,2898,3418,2048,2048,2224,3319
241,5070328,500,0,2581,3490,2048,2048,2044,3408
242,5079495,500,0,2252,3511,2048,2048,1858,3441
243,5088812,500,0,1903,3494,2048,2048,1651,3421
244,5097986,500,0,1546,3433,2048,2048,1389,3343
245,5107311,500,0,1201,3324,2048,2048,1062,3214
246,5141276,500,0,902,3159,2048,2048,762,3028
247,5154416,500,0,658,2960,2048,2048,528,2821
248,5163794,500,0,462,2744,2048,2048,326,2607
249,5173026,500,0,309,2514,2048,2048,176,2373
250,5182342,500,0,204,2262,2048,2048,78,2127
251,5191515,500,0,167,2030,2048,2048,43,1893
252,5200887,500,0,204,1789,2048,2048,74,1658
253,5210075,500,0,323,1571,2048,2048,188,1437
254,5234552,500,0,504,1352,2048,2048,369,1216
255,5243793,500,0,734,1171,2048,2048,595,1038
256,5253161,500,0,1005,1027,2048,2048,864,887
257,5262414,500,0,1306,918,2048,2048,1142,782
258,5316333,500,0,1632,836,2048,2048,1429,699
259,5327254,500,0,1980,815,2048,2048,1683,678
260,5336437,500,0,2335,846,2048,2048,1903,709
261,5345799,500,0,2688,933,2048,2048,2106,794
262,5355026,500,0,3005,1052,2048,2048,2277,912
263,5364342,500,0,3289,1222,2048,2048,2432,1088
264,5373578,500,0,3521,1417,2048,2048,2557,1279
265,5382887,500,0,3687,1734,2048,2048,2651,1598
266,5392071,500,0,3831,1980,2048,2048,2730,1840
267,5401383,500,0,3537,2034,2048,2048,2559,1895
268,5414378,500,0,2865,2034,2048,2048,2205,1895
269,5423734,500,0,1933,2032,2048,2048,1673,1893
270,5432846,500,0,1083,2032,2048,2048,944,1898
271,5442150,500,0,895,2034,2048,2048,753,1898
272,5503052,500,0,1253,2032,2048,2048,1104,1895
273,5512426,500,0,1912,2034,2048,2048,1632,1897
274,5536243,500,0,2383,2029,2048,2048,1928,1891
275,5570511,500,0,2353,2030,2048,2048,1915,1889
276,5579811,500,0,2188,2030,2048,2048,1822,1891
