time_us,adc_raw
2328484,0
2328984,0
2329485,0
2329985,0
2330484,0
2330984,0
2331484,0
2331984,0
2332485,0
2332985,0
2333484,0
2333985,0
2334484,0
2334985,0
2335484,0
2335984,0
2336484,0
2336984,0
2337485,0
2337985,0
2338484,0
2338984,0
2339484,0
2339984,0
2340485,0
2340984,0
2341484,0
2341984,0
2342485,0
2342984,0
2343485,0
2343985,0
2344484,0
2344984,0
2345484,0
2345984,0
2346484,0
2346984,0
2347484,0
2347985,0
2348484,0
2348984,0
2349484,0
2349985,0
2350484,0
2350984,0
2351485,0
2351985,0
2352484,0
2352984,0
2353485,0
2353985,0
2354485,0
2354984,0
2355484,0
2355985,0
2356484,0
2356985,0
2357484,0
2357984,0
2358484,0
2358984,0
2359484,0
2359985,0
2360484,0
2360984,0
2361485,0
2361985,0
2362484,0
2362984,0
2363485,0
2363984,0
2364484,0
2364985,0
2365484,0
2365984,0
2366485,0
2366984,0
2367485,0
2367985,0
2368485,0
2368985,0
2369484,0
2369984,0
2370485,0
2370985,0
2371484,0
2371984,0
2372484,0
2372984,0
2373484,0
2373985,0
2374485,0
2374984,0
2375484,0
2375984,0
2376485,0
2376984,0
2377484,0
2377985,0
2378484,0
2378984,0
2379484,0
2379984,0
2380485,0
2380984,0
2381484,0
2381984,0
2382484,0
2382985,0
2383484,0
2383984,0
2384485,0
2384984,0
2385485,0
2385985,0
2386484,0
2386984,0
2387485,0
2387985,0
2388484,0
2388984,0
2389484,0
2389984,0
2390485,0
2390984,0
2391485,0
2391985,0
2392484,0
2392985,0
2393484,0
2393984,0
2394484,0
2394984,0
2395484,0
2395984,0
2396485,0
2396985,0
2397484,0
2397985,0
2398484,0
2398984,0
2399484,0
2399985,0
2400484,0
2400984,32
2401485,0
2401984,0
2402484,0
2402985,0
2403484,0
2403984,0
2404485,0
2404985,0
2405485,0
2405984,0
2406485,0
2406984,0
2407485,0
2407984,0
2408485,0
2408985,0
2409484,0
2409984,0
2410484,0
2410984,0
2411485,0
2411985,0
2412484,0
2412985,0
2413484,0
2413984,0
2414484,0
2414984,0
2415485,0
2415985,0
2416484,0
2416984,0
2417484,0
2417984,0
2418484,0
2418985,0
2419484,0
2419984,0
2420484,0
2420985,0
2421484,0
2421985,0
2422484,0
2422984,0
2423484,0
2423984,0
2424485,0
2424985,0
2425484,0
2425984,0
2426485,0
2426984,0
2427484,0
2427984,0
2428485,0
2428985,0
2429484,0
2429984,0
2430485,0
2430985,0
2431484,0
2431984,0
2432485,0
2432985,0
2433484,0
2433984,0
2434485,0
2434984,0
2435484,0
2435984,0
2436485,0
2436984,0
2437484,0
2437985,0
2438484,0
2438984,0
2439484,0
2439985,0
2440484,0
2440984,0
2441484,0
2441984,0
2442484,0
2442984,0
2443485,0
2443984,0
2444484,0
2444985,0
2445484,0
2445984,0
2446485,0
2446984,0
2447484,0
2447984,0
2448484,0
2448984,0
2449484,0
2449985,0
2450485,0
2450985,0
2451484,0
2451984,0
2452484,0
2452984,0
2453485,0
2453985,0
2454484,0
2454985,0
2455484,0
2455984,0
2456485,0
2456984,0
2457484,0
2457984,0
2458484,0
2458984,0
2459485,0
2459984,0
2460484,0
2460984,0
2461485,0
2461985,0
2462484,0
2462984,0
2463485,0
2463984,0
2464484,0
2464984,0
2465484,0
2465984,0
2466485,0
2466984,0
2467484,0
2467985,0
2468484,0
2468984,0
2469484,0
2469984,0
2470485,0
2470984,0
2471484,0
2471985,0
2472484,0
2472984,0
2473485,0
2473984,0
2474484,0
2474984,0
2475484,0
2475984,0
2476485,0
2476985,0
2477484,0
2477984,0
2478484,0
2478985,0
2479484,0
2479984,0
2480485,0
2480985,0
2481484,0
2481984,0
2482484,0
2482984,0
2483484,0
2483985,0
2484484,0
2484984,0
2485484,0
2485984,0
2486485,0
2486984,0
2487485,0
2487985,0
2488484,0
2488984,0
2489485,0
2489984,0
2490484,0
2490984,0
2491485,0
2491984,0
2492484,0
2492985,0
2493484,0
2493984,0
2494484,0
2494984,0
2495485,0
2495985,0
2496484,0
2496984,0
2497484,0
2497984,0
2498484,0
2498984,0
2499485,0
2499984,0
2500485,0
2500984,0
2501484,0
2501984,0
2502484,0
2502984,0
2503485,0
2503984,0
2504484,0
2504984,0
2505484,0
2505984,0
2506484,0
2506984,0
2507485,0
2507985,0
2508484,0
2508984,0
2509485,0
2509985,0
2510484,0
2510984,0
2511484,0
2511985,0
2512484,0
2512985,0
2513484,0
2513984,0
2514485,0
2514985,0
2515484,0
2515984,0
2516485,0
2516985,0
2517484,0
2517984,0
2518485,0
2518985,0
2519484,0
2519984,0
2520484,0
2520984,0
2521484,0
2521984,0
2522484,0
2522984,0
2523484,0
2523984,0
2524485,0
2524984,0
2525485,0
2525984,0
2526485,0
2526985,0
2527484,0
2527984,0
2528485,0
2528985,0
2529484,0
2529984,0
2530484,0
2530984,0
2531484,0
2531984,0
2532484,0
2532984,0
2533484,0
2533985,0
2534484,0
2534984,0
2535484,0
2535984,0
2536484,0
2536984,0
2537485,0
2537985,0
2538484,0
2538984,0
2539485,0
2539985,0
2540484,0
2540984,0
2541484,0
2541985,0
2542484,0
2542984,0
2543484,0
2543985,0
2544484,0
2544984,0
2545484,0
2545985,0
2546484,0
2546985,0
2547484,0
2547984,0
2548485,0
2548984,0
2549484,0
2549984,0
2550484,0
2550984,0
2551484,0
2551984,0
2552484,0
2552984,0
2553485,0
2553985,0
2554484,0
2554984,0
2555484,0
2555984,0
2556485,0
2556985,0
2557484,0
2557984,0
2558485,0
2558985,0
2559484,0
2559984,0
2560484,0
2560985,0
2561484,0
2561984,0
2562485,0
2562985,0
2563484,0
2563984,0
2564484,0
2564985,0
2565484,0
2565984,0
2566485,0
2566985,0
2567484,0
