408,408531,-68930078,765875235,
409,409531,-221699314,346787544,
410,410531,-203219474,-196797363,
411,411531,-317153008,-790945870,
412,412531,-269761613,-1348234410,
413,413531,-309163031,-1796958593,
414,414531,-230164834,-2065706481,
415,415531,-182862148,-2123951328,
416,416531,-121308982,-1957513919,
417,417531,-23128407,-1598383540,
418,418531,9300537,-1086245489,
419,419531,109122806,-501584018,
420,420531,65463519,78348247,
421,421531,135939014,568502120,
422,422531,23977204,902295526,
423,423531,53256911,1032997259,
424,424531,-92711016,941006664,
425,425531,-105809992,640440797,
426,426531,-231552560,169301477,
427,427531,-234672580,-397745188,
428,428531,-304693285,-990039930,
429,429531,-294504705,-1518272644,
430,430531,-270598209,-1913677460,
431,431531,-235383039,-2114098072,
432,432531,-145132062,-2097863081,
433,433531,-103675406,-1862197966,
434,434531,5593045,-1444444609,
435,435531,24386363,-901312311,
436,436531,116959276,-307229204,
437,437531,79787353,250912875,
438,438531,106501240,696445492,
439,439531,34968132,965162950,
440,440531,3952173,1023829029,
441,441531,-93879118,857813750,
442,442531,-152098002,495820051,
443,443531,-229124928,-15768313,
444,444531,-271884121,-601356726,
445,445531,-291748356,-1180393577,
446,446531,-296976620,-1671715216,
447,447531,-261018005,-2007034116,
448,448531,-204493153,-2138002636,
449,449531,-134856991,-2044751139,
450,450531,-62113820,-1745143370,
451,451531,6510702,-1276484250,
452,452531,68963949,-708017074,
453,453531,90954452,-116577742,
454,454531,110821241,412158016,
455,455531,70537072,805520825,
456,456531,34859290,1006402278,
457,457531,-33909599,988759622,
458,458531,-107506433,755410883,
459,459531,-182237462,334864245,
460,460531,-249614737,-208693973,
461,461531,-270143117,-802609965,
462,462531,-315514483,-1359814049,
463,463531,-263415365,-1807181400,
464,464531,-270188971,-2076413375,
465,465531,-158209438,-2134886996,
466,466531,-136439948,-1969327271,
467,467531,-8765844,-1606446111,
468,468531,-13153,-1097257133,
469,469531,102446142,-511297258,
470,470531,85652790,67669787,
471,471531,107577797,560155202,
472,472531,60950411,892351080,
473,473531,8174612,1024649543,
474,474531,-47958744,930632206,
475,475531,-150827544,631693998,
476,476531,-178257880,161829448,
477,477531,-294743413,-406830384,
478,478531,-252319616,-999128793,
479,479531,-334892782,-1526583045,
480,480531,-235805177,-1920467955,
481,481531,-266982527,-2123301122,
482,482531,-121960147,-2104789564,
483,483531,-118907795,-1871173639,
484,484531,13063196,-1450983781,
485,485531,30038122,-908772965,
486,486531,96102718,-314160325,
487,487531,105258198,242160638,
488,488531,82308866,690700994,
489,489531,64215067,958512833,
490,490531,-35811535,1016470639,
491,491531,-50230958,851018068,
492,492531,-194739397,489288262,
493,493531,-187066499,-21757998,
494,494531,-311241431,-607711862,
495,495531,-260177316,-1186616575,
496,496531,-325249320,-1678905492,
497,497531,-230123082,-2011527789,
498,498531,-233021776,-2144112894,
499,499531,-118585478,-2051052856,
500,500531,-68521308,-1751141087,
501,501531,10420005,-1281112613,
502,502531,66729805,-713955727,
503,503531,88535863,-121735738,
504,504531,116201615,406510894,
505,505531,60869239,800144381,
506,506531,53048428,1001987423,
507,507531,-58198551,983928225,
508,508531,-86572693,749414264,
509,509531,-199875914,330368677,
510,510531,-226869667,-212721867,
511,511531,-300398369,-807617931,
512,512531,-284288487,-1364825681,
513,513531,-293435685,-1811380051,
514,514531,-240192292,-2080988661,
