dev_t_s,dev_t_us,seq,adc_34,adc_35,v_inst,i_inst,v1_mag,i1_mag,v1_angle_deg,i1_angle_deg,vi_angle_deg,fourier_valid,f_est_hz,norm_ready,norm_gain_v,norm_gain_i,oc_51_pickup,oc_50_pickup,oc_51_timer_s,oc_51_active,oc_50_trip,oc_51_trip,oc_trip,dist_line_z_ohm,dist_z1_ohm,dist_z2_ohm,dist_line_angle_deg,dist_z_mag_ohm,dist_z_angle_deg,dist_r_ohm,dist_x_ohm,dist_fault_pct,dist_z2_timer_s,dist_z1_trip,dist_z2_trip,dist_trip,dir67_direction,dir67_angle_deg,dir67_window_deg,dir67_power_w,dir67_prefault_power_w,dir67_power_min_w,dir67_permit,dir67_block_active,uv_pickup,ov_pickup,uv_timer_s,ov_timer_s,uv_trip,ov_trip,voltage_trip_code,cycle_id,cycle_update,quality_flags
32.803573608,32803574,10201,2289,2424,17012.025390625,52.894657135,216060.000000000,52.330635071,-34.731934,-19.163162,15.568771,1,60.875389,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,443,1,0
32.820701599,32820700,10225,2417,2426,137532.546875000,72.087852478,210909.781250000,47.876205444,-34.274704,-6.867081,27.407623,1,58.390751,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,444,1,0
32.837127686,32837128,10248,2317,2420,43390.929687500,15.086117744,214985.671875000,55.275806427,-29.726471,-17.030472,12.695999,1,60.871681,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,445,1,0
32.853553772,32853551,10271,2290,2427,18001.445312500,82.125953674,213472.515625000,42.103004456,-35.715378,-17.762115,17.953262,1,60.890217,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,446,1,0
32.869979858,32869978,10294,2275,2418,3845.358642578,-3.676163912,216362.375000000,44.356510162,-39.366455,-23.775864,15.590591,1,60.875389,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,447,1,0
32.887107849,32887107,10318,2310,2429,36774.222656250,101.556503296,213429.265625000,51.455108643,-39.512131,-27.319473,12.192657,1,58.380524,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,448,1,0
32.903541565,32903540,10341,2291,2421,18894.013671875,25.456233978,212798.609375000,38.433094025,-35.868225,-23.032104,12.836121,1,60.853161,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,449,1,0
32.920658112,32920658,10365,2380,2426,102696.187500000,73.455459595,214651.937500000,43.932674408,-35.536880,-22.367310,13.169571,1,58.418041,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,450,1,0
32.937091827,32937091,10388,2303,2427,30217.433593750,83.352279663,213974.093750000,52.325820923,-31.718918,-24.196747,7.522171,1,60.853161,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,451,1,0
32.953510284,32953510,10411,2296,2420,23633.613281250,16.702386856,217064.281250000,39.825534821,-35.678802,-9.593353,26.085449,1,60.905048,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,284.474761963,14.476501,275.442749023,71.113838196,545.755310059,0.000000000,0,0,0,forward,86.636002,90.000000,483037056.000000000,483037056.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,452,1,0
