sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
120,60000,500,1679,2367,1516,2214,1.367000,1.934000,0,0
121,60500,500,1518,2466,1359,2318,1.238000,2.007000,0,0
122,61000,500,1377,2541,1217,2388,1.122000,2.069000,0,0
123,61500,500,1265,2603,1108,2454,1.033000,2.119000,0,0
124,62000,500,1176,2653,1012,2499,0.956000,2.158000,0,0
125,62500,500,1115,2685,954,2536,0.909000,2.184000,0,0
126,63000,500,1087,2684,925,2534,0.886000,2.183000,0,0
127,63500,500,1094,2662,933,2511,0.892000,2.166000,0,0
128,64000,500,1133,2605,970,2455,0.920000,2.118000,0,0
129,64500,500,1211,2548,1052,2399,0.992000,2.071000,0,0
130,65000,500,1319,2475,1159,2322,1.077000,2.013000,0,0
131,65500,500,1451,2385,1293,2235,1.184000,1.943000,0,0
132,66000,500,1655,2233,1494,2086,1.348000,1.831000,0,0
133,66500,500,1822,2115,1665,1965,1.481000,1.726000,0,0
134,67000,500,1996,1994,1840,1843,1.624000,1.626000,0,0
135,67500,500,2177,1872,2015,1721,1.765000,1.530000,0,0
136,68000,500,2358,1760,2198,1613,1.912000,1.442000,0,0
137,68500,500,2525,1660,2365,1505,2.046000,1.356000,0,0
138,69000,500,2673,1579,2512,1424,2.165000,1.290000,0,0
139,69500,500,2796,1513,2639,1360,2.268000,1.237000,0,0
140,70000,500,2893,1456,2736,1303,2.346000,1.190000,0,0
141,70500,500,2961,1419,2801,1264,2.400000,1.162000,0,0
142,71000,500,3003,1411,2847,1261,2.436000,1.156000,0,0
143,71500,500,3007,1420,2851,1267,2.439000,1.161000,0,0
144,72000,500,2979,1465,2822,1312,2.418000,1.199000,0,0
145,72500,500,2913,1528,2755,1375,2.365000,1.251000,0,0
146,73000,500,2815,1595,2655,1443,2.283000,1.305000,0,0
147,73500,500,2690,1685,2528,1534,2.178000,1.377000,0,0
148,74000,500,2544,1781,2384,1632,2.063000,1.457000,0,0
149,74500,500,2385,1905,2225,1755,1.934000,1.556000,0,0
150,75000,500,2218,2026,2061,1874,1.804000,1.653000,0,0
151,75500,500,2039,2144,1882,1991,1.651000,1.749000,0,0
152,76000,500,1858,2266,1703,2115,1.517000,1.848000,0,0
153,76500,500,1679,2367,1520,2215,1.367000,1.928000,0,0
154,77000,500,1518,2466,1360,2315,1.238000,2.009000,0,0
155,77500,500,1377,2541,1217,2387,1.127000,2.067000,0,0
